,AD,AE,AF,AG,AI,AL,AM,AO,AR,AT,AU,AW,AX,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BM,BN,BO,BQ,BR,BS,BT,BV,BW,BY,BZ,CA,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FM,FO,FR,GA,GB,GD,GE,GF,GG,GH,GI,GL,GM,GN,GP,GQ,GR,GT,GW,GY,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,US,UY,UZ,VA,VC,VE,VG,VN,VU,WS,YE,YT,ZA,ZM,ZW
AD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AE,0.0,11.675559775407878,0.0,0.0,0.0,0.0,0.0,0.0,0.0013231942633861,0.006694662970323927,0.0020481310803891,0.0,0.0,0.0,0.0,0.0,0.0,0.0023436102491077,0.0,0.0006078182107102268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025916770396151997,0.0,0.0,0.0,0.0,0.0,0.0,0.0004777830864787,0.0,0.0,0.0,0.0,0.0818713450292397,0.0,0.0,0.0002388915432393,0.0,0.0761466459122587,0.0017576628805202,0.0,0.0005120327700972,0.0,0.0,0.0,0.0,0.0010240655401945,0.0201444433887145,0.0,0.0009493670886075,0.0,0.0,0.0,0.0,0.0009082455109441,0.018280311238057637,0.0,0.0,0.0425791928970785,0.0,0.0010240655401945,0.0,0.0,0.0,0.020011292304723,0.0,1.1315036709699735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014271501750862,0.0,0.0,0.0,0.0,0.0013114218620335,0.0,0.0004816348186916351,0.0,0.0007166746297181,0.0025259141668678,0.0,0.0024047417436989,0.0,0.0,0.0666666666666666,0.0,0.007858966200721199,0.0,0.0,0.018280311238057637,0.0,9.849305623953512e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006894513936767,9.578544061302682e-05,0.0,0.0,0.0,0.0196035055014438,0.0,0.0,0.0,0.0,0.0,0.0012156364214205,0.0,0.000632911392405,0.0,0.0188147295742232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006301561525709268,2.00126582278481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019654202434647,0.0,0.0,0.0,0.0,0.0,9.578544061302682e-05,0.0005120327700972,0.0005120327700972,0.0,0.0,0.0013022653601098,9.578544061302682e-05,0.0006065196336680352,0.0,0.0,0.0,0.0020058213872256,0.0,0.0,0.1429556359133824,0.0,0.0012156364214205,0.002621699607480827,0.0,0.0,0.3406956179154586,0.0,0.0,0.0,1.0009493670886076,0.000191570881226,0.0,0.0009858096639072,0.0,0.0002388915432393,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008717553114368,0.0,0.0,0.0,0.0,0.0,0.0057782998639921,0.0,0.0,0.0009702483676764,0.0,0.0,9.849305623953512e-05,0.3957841542540153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004358776557184,0.0,0.0
AF,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM,0.0,0.0,0.0,0.0,0.0,0.0,1.7242114236999146,0.0,0.0,0.0017050298380221,0.0042625745950554,0.0,0.0,0.0,0.0,0.0,0.0,0.0025575447570332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042625745950554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059676044330775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076726342710997,0.0,0.0,0.0,0.0,0.0,0.0059676044330775,0.0,0.0042625745950554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093776641091219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042625745950554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017050298380221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.0,0.0013231942633861,0.0,0.0,0.0,0.0,0.0,0.0,46.277904233271464,0.07368690253396559,0.2890795618825814,0.0,0.0,0.0,0.0033085604119692,0.0,0.0002553626149131,0.1696100960865798,0.0,0.0035504934669629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6817059866520867,0.0,0.0,0.0,0.0,0.0001338240214118,0.0,0.3094963405461702,0.0,0.0005107252298263,0.0,0.0,0.12005506260440221,0.0003912363067292,0.0,0.7484832399103868,0.0002553626149131,0.5754464282477755,0.2325785143988047,0.0002553626149131,0.0474797446984767,0.0,0.0,0.0,0.0,0.1035813076810707,0.2905256670658535,0.0,0.0458888917733321,0.0,0.0002553626149131,0.0002553626149131,0.0,0.0184325237068035,0.0190246712714956,0.0,0.0,1.1111112991564482,0.0,0.0372060288867071,0.0,0.0,0.0,1.5655131668964684,0.0,1.391554616193761,0.0,0.000392705200277,0.0,0.0,0.0002553626149131,0.0,0.0,0.0,0.0,0.0,0.0,0.1429143147253796,0.0002553626149131,0.0,0.0,0.0,0.0380229781623394,0.0,0.0829910396665336,1.000805449662482,0.0431941309356624,0.2008157327742517,0.0,0.057963238995943696,0.0,0.0,0.0002947244326554,0.0002553626149131,0.5419597214852043,0.0,0.0,0.0038703391876362,0.4750357621887837,0.0017844704809991002,0.0002553626149131,0.0,0.0,0.0,0.0,0.0,0.29343668722152383,0.000191570881226,0.0,0.0,0.0,0.0095860461331362,0.0,0.0,0.0002947244326554,0.0,0.0,0.0131206983065054,0.000767630963414,0.011298525172497902,0.0,0.0018026894201403,0.0,0.0,0.0001903674090995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4436700370034178,0.024838398333467,0.0,0.0,0.0,0.0,0.0,0.0019449855753613,0.0,0.2254803735043363,0.0896146419719121,0.0005107252298263,0.0,0.0,0.1099832412910302,0.000191570881226,0.0,0.0569309254188474,0.0,0.0,0.0065328999805929,0.0010757441791924,0.0851726421499929,0.0,0.0,0.0,0.2313209612460991,0.0,0.0,0.003431826389572835,0.0,0.0698422408219613,0.0361885460559917,0.033620504158714204,0.0,0.0048234568251233,0.0,0.0,0.0002553626149131,0.0650409022390552,0.0107898028966583,0.0,0.014908382068260199,0.0,0.0166880716676978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054058972046514206,0.0,0.0,0.0,0.0005894488653109,0.0,0.2873324617955067,0.0,0.0,0.2426207548528308,0.0,0.010002999032803401,0.000175948640303,6.6785307516920565,0.0109890109890109,0.0,0.0,0.0,0.0,0.0,0.0017866204896406002,0.0,0.0,0.0,0.0,0.034185194848588,0.0002947244326554,0.0
AT,0.0,0.006694662970323927,0.0,0.0,0.0,0.0,0.0017050298380221,0.0,0.07368690253396559,281.12223049045076,1.0969865203052405,0.0,0.0,0.0,0.0004967008799003,0.0,0.0033333333333333,3.8138054425512324,0.0,0.0503893615546631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2226646468930173,0.0,0.0,0.0,0.0,0.0,0.0,0.3875758422394804,0.0,0.0,0.0,0.0,5.9988378005704766,0.0,0.0,0.0305535724723199,0.0,0.4938496636611064,0.040263928352781204,0.0,0.0005120327700972,0.0,0.0,0.0,0.0001730702665282,0.802986023914993,21.694920463607843,0.0,1.157797872540966,0.0,0.0001316309069369,0.0,0.0,0.0685151749132991,0.0187089093666641,0.0,0.0,3.4295976206554495,0.0086580086580086,0.3192753746052769,0.0,0.0,0.0,5.627747799383472,0.0,1.9642612821640413,0.0,0.0066725935535754,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5757352339142294,0.0,0.0,0.0,0.0,0.025467689981279303,0.0,0.2075392279042528,0.0001473622163277,0.217036639554719,0.697139501358282,0.0,6.395182263879247,0.0,0.0,0.0001473622163277,0.0,3.9089567782162247,0.0,0.6666666666666666,0.0102413021133873,0.6940486612233194,0.0039283244186927,0.0,0.0,0.0,0.0,0.0,0.0,0.4318960116635175,9.578544061302682e-05,0.0,0.0014423076923076,0.0,0.0038955493782872,0.0,0.0,0.0001473622163277,0.0,0.0,0.3614699598133684,0.0006009641972148,0.3633154026758465,0.0,0.0013631676874523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6976400151328053,0.024193367895922,0.0,0.0,0.0,0.0,0.0,0.0005894488653109,0.0001463200507242,2.085126669762353,1.2597418310670148,0.0,0.0,0.0,0.0221306580353951,9.578544061302682e-05,0.0005120327700972,0.0025867200668411,0.0,0.0,0.0032379502064063,0.0028367226643087997,0.6998270714746876,0.0,0.0,0.0,0.2223768659679446,0.0,0.0,0.0,0.0,0.1281415152182625,0.2592017823894438,1.1507838813790237,0.0,0.0015973937047805,0.0,0.0,0.0,1.2608255099388583,0.0636625451553153,0.0,1.3887627528238198,0.0,0.6864379196358094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363987311396591,0.0,0.0,0.0,0.0002947244326554,0.0,0.359560783277659,0.0,0.0,0.277379335709826,0.0,0.0228716116211737,0.0002478142830322,17.90109471766042,0.0,0.0,0.0,0.0,0.0,0.0,0.0001316309069369,0.0,0.0,0.0,0.0,0.0065578240030822,1.0001473622163277,0.0
